timeMS,x,y,z,yaw
1677144957030,-57.039,61.348,-10.348,-108.153
1677144957078,-57.129,61.123,-10.348,-108.347
1677144957124,-57.213,60.911,-10.348,-108.542
1677144957171,-57.296,60.698,-10.348,-108.745
1677144957217,-57.389,60.458,-10.348,-108.974
1677144957263,-57.471,60.244,-10.348,-109.174
1677144957310,-57.533,60.084,-10.348,-109.321
1677144957357,-57.614,59.869,-10.348,-109.51
1677144957404,-57.695,59.654,-10.348,-109.69
1677144957451,-57.782,59.425,-10.347,-109.873
1677144957498,-57.863,59.21,-10.347,-110.037
1677144957545,-57.948,58.981,-10.347,-110.206
1677144957592,-58.004,58.832,-10.347,-110.312
1677144957640,-58.085,58.616,-10.346,-110.465
1677144957687,-58.17,58.386,-10.346,-110.628
1677144957735,-58.256,58.156,-10.346,-110.794
1677144957782,-58.342,57.926,-10.345,-110.966
1677144957829,-58.423,57.709,-10.345,-111.135
1677144957876,-58.484,57.547,-10.345,-111.268
1677144957921,-58.565,57.33,-10.345,-111.454
1677144957968,-58.652,57.1,-10.345,-111.663
1677144958014,-58.739,56.87,-10.344,-111.887
1677144958061,-58.8,56.707,-10.344,-112.053
1677144958108,-58.888,56.477,-10.344,-112.3
1677144958155,-58.971,56.261,-10.344,-112.546
1677144958202,-59.054,56.044,-10.344,-112.79
1677144958248,-59.143,55.815,-10.343,-112.983
1677144958294,-59.227,55.598,-10.333,-113.039
1677144958343,-59.284,55.45,-10.32,-112.983
1677144958391,-59.374,55.221,-10.293,-112.723
1677144958436,-59.463,54.991,-10.261,-112.243
1677144958483,-59.546,54.775,-10.23,-111.593
1677144958530,-59.635,54.546,-10.195,-110.706
1677144958576,-59.691,54.397,-10.173,-110.033
1677144958624,-59.778,54.167,-10.138,-108.855
1677144958671,-59.864,53.937,-10.102,-107.531
1677144958716,-59.949,53.706,-10.066,-106.081
1677144958764,-60.007,53.543,-10.046,-104.992
1677144958811,-60.083,53.324,-10.03,-103.467
1677144958858,-60.156,53.105,-10.022,-101.851
1677144958905,-60.233,52.872,-10.004,-100.009
1677144958952,-60.313,52.625,-9.97,-97.889
1677144958998,-60.356,52.487,-9.948,-96.627
1677144959044,-60.435,52.226,-9.904,-94.032
1677144959091,-60.501,51.991,-9.865,-91.447
1677144959139,-60.541,51.839,-9.84,-89.625
1677144959185,-60.602,51.59,-9.801,-86.396
1677144959232,-60.65,51.368,-9.769,-83.321
1677144959279,-60.694,51.133,-9.737,-79.955
1677144959327,-60.719,50.98,-9.717,-77.77
1677144959373,-60.752,50.744,-9.688,-74.434
1677144959421,-60.778,50.509,-9.658,-71.195
1677144959467,-60.796,50.274,-9.629,-68.115
1677144959514,-60.807,50.04,-9.6,-65.258
1677144959561,-60.811,49.875,-9.578,-63.408
1677144959608,-60.809,49.642,-9.547,-61.059
1677144959654,-60.802,49.424,-9.515,-59.169
1677144959702,-60.793,49.261,-9.49,-57.964
1677144959749,-60.772,49.017,-9.45,-56.506
1677144959796,-60.747,48.789,-9.41,-55.501
1677144959843,-60.713,48.548,-9.364,-54.804
1677144959890,-60.69,48.401,-9.335,-54.546
1677144959935,-60.646,48.162,-9.285,-54.363
1677144959982,-60.613,48.004,-9.25,-54.382
1677144960029,-60.563,47.78,-9.199,-54.559
1677144960076,-60.504,47.545,-9.142,-54.89
1677144960123,-60.465,47.402,-9.107,-55.14
1677144960169,-60.397,47.169,-9.047,-55.59
1677144960215,-60.325,46.937,-8.985,-56.05
1677144960262,-60.274,46.784,-8.943,-56.345
1677144960309,-60.199,46.567,-8.883,-56.724
1677144960355,-60.115,46.338,-8.817,-57.059
1677144960403,-60.057,46.186,-8.773,-57.238
1677144960448,-59.977,45.985,-8.713,-57.419
1677144960494,-59.884,45.759,-8.645,-57.543
1677144960540,-59.825,45.622,-8.603,-57.58
1677144960589,-59.732,45.41,-8.538,-57.586
1677144960636,-59.631,45.187,-8.468,-57.536
1677144960684,-59.527,44.964,-8.398,-57.443
1677144960731,-59.462,44.829,-8.355,-57.372
1677144960778,-59.353,44.608,-8.284,-57.245
1677144960825,-59.249,44.4,-8.217,-57.122
1677144960873,-59.18,44.265,-8.173,-57.047
1677144960919,-59.06,44.034,-8.098,-56.935
1677144960965,-58.983,43.888,-8.051,-56.88
1677144961012,-58.866,43.669,-7.979,-56.824
1677144961059,-58.755,43.463,-7.912,-56.805
1677144961105,-58.675,43.318,-7.864,-56.812
1677144961153,-58.561,43.113,-7.797,-56.852
1677144961200,-58.446,42.907,-7.729,-56.924
1677144961247,-58.323,42.691,-7.658,-57.035
1677144961293,-58.24,42.546,-7.611,-57.125
1677144961340,-58.122,42.342,-7.544,-57.275
1677144961386,-57.997,42.126,-7.473,-57.455
1677144961432,-57.92,41.993,-7.43,-57.574
1677144961480,-57.793,41.777,-7.359,-57.782
1677144961528,-57.673,41.573,-7.293,-57.989
1677144961576,-57.588,41.429,-7.246,-58.139
1677144961623,-57.459,41.213,-7.175,-58.37
1677144961671,-57.338,41.01,-7.109,-58.593
1677144961718,-57.252,40.866,-7.063,-58.752
1677144961765,-57.124,40.649,-6.993,-58.993
1677144961813,-57.002,40.445,-6.928,-59.224
1677144961859,-56.88,40.241,-6.862,-59.458
1677144961906,-56.786,40.085,-6.812,-59.64
1677144961953,-56.664,39.88,-6.747,-59.882
1677144962001,-56.543,39.675,-6.682,-60.131
1677144962048,-56.457,39.531,-6.637,-60.309
1677144962095,-56.335,39.326,-6.573,-60.535
1677144962142,-56.206,39.108,-6.505,-60.709
1677144962189,-56.121,38.963,-6.461,-60.771
1677144962236,-55.999,38.757,-6.399,-60.767
1677144962282,-55.878,38.551,-6.338,-60.644
1677144962330,-55.793,38.406,-6.295,-60.481
1677144962376,-55.664,38.188,-6.231,-60.119
1677144962423,-55.542,37.982,-6.172,-59.65
1677144962468,-55.456,37.836,-6.131,-59.25
1677144962514,-55.334,37.63,-6.074,-58.594
1677144962562,-55.211,37.424,-6.018,-57.845
1677144962609,-55.123,37.279,-5.978,-57.268
1677144962656,-54.999,37.074,-5.924,-56.395
1677144962702,-54.866,36.857,-5.867,-55.411
1677144962749,-54.785,36.725,-5.833,-54.787
1677144962796,-54.65,36.509,-5.778,-53.731
1677144962843,-54.521,36.306,-5.727,-52.697
1677144962890,-54.384,36.092,-5.675,-51.56
1677144962937,-54.291,35.95,-5.642,-50.781
1677144962984,-54.158,35.749,-5.595,-49.656
1677144963032,-54.024,35.55,-5.55,-48.526
1677144963079,-53.928,35.41,-5.518,-47.737
1677144963124,-53.782,35.201,-5.472,-46.578
1677144963171,-53.683,35.062,-5.441,-45.829
1677144963217,-53.533,34.856,-5.396,-44.751
1677144963263,-53.39,34.663,-5.353,-43.795
1677144963311,-53.244,34.471,-5.311,-42.912
1677144963358,-53.14,34.336,-5.282,-42.336
1677144963405,-52.991,34.147,-5.241,-41.595
1677144963453,-52.839,33.96,-5.2,-40.944
1677144963498,-52.722,33.818,-5.168,-40.51
1677144963546,-52.567,33.633,-5.127,-40.022
1677144963593,-52.411,33.45,-5.086,-39.623
1677144963640,-52.289,33.311,-5.054,-39.375
1677144963688,-52.129,33.131,-5.013,-39.117
1677144963734,-51.958,32.941,-4.969,-38.918
1677144963781,-51.842,32.816,-4.94,-38.822
1677144963828,-51.668,32.629,-4.895,-38.726
1677144963876,-51.491,32.444,-4.851,-38.677
1677144963921,-51.373,32.322,-4.821,-38.664
1677144963967,-51.193,32.139,-4.776,-38.668
1677144964015,-51.083,32.028,-4.749,-38.681
1677144964062,-50.901,31.848,-4.704,-38.714
1677144964110,-50.729,31.679,-4.661,-38.754
1677144964157,-50.606,31.56,-4.631,-38.785
1677144964205,-50.421,31.382,-4.586,-38.834
1677144964252,-50.234,31.206,-4.54,-38.885
1677144964298,-50.11,31.089,-4.51,-38.919
1677144964345,-49.932,30.924,-4.467,-38.968
1677144964392,-49.743,30.75,-4.421,-39.022
1677144964439,-49.616,30.635,-4.391,-39.06
1677144964486,-49.415,30.453,-4.343,-39.124
1677144964534,-49.288,30.338,-4.312,-39.169
1677144964580,-49.096,30.167,-4.267,-39.244
1677144964628,-48.957,30.044,-4.234,-39.304
1677144964675,-48.775,29.883,-4.191,-39.392
1677144964721,-48.582,29.713,-4.145,-39.498
1677144964768,-48.42,29.571,-4.107,-39.598
1677144964816,-48.269,29.439,-4.072,-39.7
1677144964863,-48.086,29.28,-4.029,-39.837
1677144964911,-47.891,29.111,-3.984,-39.996
1677144964958,-47.761,28.998,-3.954,-40.111
1677144965004,-47.566,28.83,-3.909,-40.296
1677144965051,-47.381,28.67,-3.866,-40.483
1677144965097,-47.251,28.558,-3.837,-40.622
1677144965145,-47.056,28.389,-3.792,-40.84
1677144965193,-46.925,28.277,-3.762,-40.992
1677144965239,-46.73,28.108,-3.717,-41.228
1677144965286,-46.524,27.93,-3.67,-41.487
1677144965333,-46.393,27.817,-3.641,-41.655
1677144965380,-46.209,27.657,-3.599,-41.899
1677144965428,-46.014,27.488,-3.555,-42.162
1677144965474,-45.895,27.384,-3.528,-42.325
1677144965522,-45.689,27.205,-3.481,-42.611
1677144965569,-45.56,27.091,-3.452,-42.793
1677144965616,-45.365,26.92,-3.408,-43.068
1677144965663,-45.182,26.759,-3.367,-43.328
1677144965710,-45.053,26.644,-3.338,-43.513
1677144965758,-44.86,26.472,-3.307,-43.789
1677144965805,-44.721,26.347,-3.295,-43.988
1677144965852,-44.539,26.184,-3.272,-44.245
1677144965899,-44.357,26.02,-3.236,-44.497
1677144965947,-44.166,25.846,-3.192,-44.755
1677144965992,-44.028,25.72,-3.158,-44.936
1677144966039,-43.837,25.546,-3.11,-45.175
1677144966085,-43.71,25.429,-3.079,-45.327
1677144966132,-43.531,25.263,-3.034,-45.531
1677144966178,-43.341,25.087,-2.987,-45.731
1677144966225,-43.216,24.97,-2.955,-45.854
1677144966271,-43.027,24.792,-2.909,-46.023
1677144966317,-42.902,24.674,-2.878,-46.126
1677144966364,-42.725,24.506,-2.834,-46.256
1677144966411,-42.538,24.327,-2.788,-46.374
1677144966457,-42.414,24.208,-2.757,-46.443
1677144966504,-42.228,24.028,-2.712,-46.531
1677144966552,-42.104,23.908,-2.682,-46.579
1677144966598,-41.909,23.718,-2.634,-46.641
1677144966643,-41.786,23.597,-2.604,-46.673
1677144966690,-41.602,23.416,-2.562,-46.72
1677144966737,-41.418,23.233,-2.537,-46.776
1677144966784,-41.296,23.111,-2.531,-46.824
1677144966831,-41.113,22.927,-2.529,-46.919
1677144966878,-40.991,22.805,-2.531,-47.001
1677144966925,-40.799,22.61,-2.534,-47.17
1677144966973,-40.628,22.435,-2.537,-47.371
1677144967019,-40.507,22.311,-2.539,-47.547
1677144967067,-40.327,22.126,-2.542,-47.882
